,runID,module,name,vectime,vecvalue,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
0,General-0-20260601-16:23:08-30072,RSUExampleScenario.node[0].appl,camInterval,[ 1.1  2.   2.9  3.   3.1  4.   5.   6.   7.   8.   9.  10.  11.  12.  13.  14.  15.  16.  17.  18.  19.  20.  21.  22.  23.  24.  25.  26.  27.  28.  29.  30. ],[1.1 0.9 0.9 0.1 0.1 0.9 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. ],General,20260601-16:23:08,20260601-162308,General,omnetpp.ini,,,,,RSUExampleScenario,30072,0,#0,results,0,0,,Vehicle 0
1,General-0-20260601-16:23:08-30072,RSUExampleScenario.node[1].appl,camInterval,[ 4.1  5.   6.   7.   8.   9.  10.  11.  12.  13.  14.  15.  16.  17.  18.  19.  20.  21.  22.  23.  24.  25.  26.  27.  28.  29.  30. ],[4.1 0.9 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. ],General,20260601-16:23:08,20260601-162308,General,omnetpp.ini,,,,,RSUExampleScenario,30072,0,#0,results,0,0,,Vehicle 1
2,General-0-20260601-16:23:08-30072,RSUExampleScenario.node[2].appl,camInterval,[ 7.1  8.   8.9  9.   9.1 10.  10.9 11.  11.1 12.  12.9 13.  13.1 14.  14.9 15.  15.1 16.  16.9 17.  17.1 18.  18.9 19.  19.2 20.  20.8 21.  21.2 22.  22.8 23.  23.2 24.  24.8 25.  25.2 26.  26.8 27.  27.2 28.  28.8 29.  29.2 30. ],[7.1 0.9 0.9 0.1 0.1 0.9 0.9 0.1 0.1 0.9 0.9 0.1 0.1 0.9 0.9 0.1 0.1 0.9 0.9 0.1 0.1 0.9 0.9 0.1 0.2 0.8 0.8 0.2 0.2 0.8 0.8 0.2 0.2 0.8 0.8 0.2 0.2 0.8 0.8 0.2 0.2 0.8 0.8 0.2 0.2 0.8],General,20260601-16:23:08,20260601-162308,General,omnetpp.ini,,,,,RSUExampleScenario,30072,0,#0,results,0,0,,Vehicle 2
