,runID,module,name,vectime,vecvalue,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
0,General-0-20260601-16:23:08-30072,RSUExampleScenario.node[0].appl,speedAtCam,[ 1.1  2.   2.9  3.   3.1  4.   5.   6.   7.   8.   9.  10.  11.  12.  13.  14.  15.  16.  17.  18.  19.  20.  21.  22.  23.  24.  25.  26.  27.  28.  29.  30. ],[ 2.17428825  4.10619661  4.10619661  6.01954956  6.01954956  7.7148369   9.58798684 11.39138936 13.51383979 13.99235115 13.89022445 13.98366442 13.89380723 13.97655871 13.923543   13.91007152 13.96459887 13.99523364 13.95230435 13.95691195 11.52118866  7.02118866  7.87524206 10.08306763 11.96894198 13.98108931 13.96559437 13.9890596  13.93117804 13.96780725 13.96233573 13.98067243],General,20260601-16:23:08,20260601-162308,General,omnetpp.ini,,,,,RSUExampleScenario,30072,0,#0,results,0,0,,Vehicle 0
1,General-0-20260601-16:23:08-30072,RSUExampleScenario.node[1].appl,speedAtCam,[ 4.1  5.   6.   7.   8.   9.  10.  11.  12.  13.  14.  15.  16.  17.  18.  19.  20.  21.  22.  23.  24.  25.  26.  27.  28.  29.  30. ],[ 2.06259794  4.03326496  5.82651105  7.78521278  9.56588739 11.45014948 13.69408031 13.94150055 13.89356639 13.97079607 13.95238605 13.9536958  13.88700471 13.92698071 13.89086527 13.96505662 13.94669207 13.05491502 11.87898445  7.42566677  7.77594255  9.49163696 11.52765813 13.49795949 13.97321199 13.99304238 13.98126033],General,20260601-16:23:08,20260601-162308,General,omnetpp.ini,,,,,RSUExampleScenario,30072,0,#0,results,0,0,,Vehicle 1
2,General-0-20260601-16:23:08-30072,RSUExampleScenario.node[2].appl,speedAtCam,[ 7.1  8.   8.9  9.   9.1 10.  10.9 11.  11.1 12.  12.9 13.  13.1 14.  14.9 15.  15.1 16.  16.9 17.  17.1 18.  18.9 19.  19.2 20.  20.8 21.  21.2 22.  22.8 23.  23.2 24.  24.8 25.  25.2 26.  26.8 27.  27.2 28.  28.8 29.  29.2 30. ],[ 2.00298132  3.93096316  3.93096316  5.92631122  5.92631122  7.8010533   7.8010533   9.8396162   9.8396162  12.00456667 12.00456667 13.91807112 13.91807112 13.95041984 13.95041984 13.89728502 13.89728502 13.99228632 13.99228632 13.96720393 13.96720393 13.88101511 13.88101511 13.96860698 13.96860698 13.91850905 13.91850905 13.92430865 13.92430865 13.90454093 13.90454093 13.8796637  13.8796637  12.64756998 12.64756998 11.79013734 11.79013734  7.33239402  7.33239402  8.39127188  8.39127188 10.35920181 10.35920181 12.18495688 12.18495688 13.93230766],General,20260601-16:23:08,20260601-162308,General,omnetpp.ini,,,,,RSUExampleScenario,30072,0,#0,results,0,0,,Vehicle 2
