,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,source,title,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
0,DenmAccident-0-20260520-12:29:08-21270,RSUExampleScenario.rsu[0].bridge,denmSent:vector,[],[],none,vector,denmSent,DENM sent,DenmAccident,20260520-12:29:08,20260520-122908,DenmAccident,omnetpp.ini,,,,,RSUExampleScenario,21270,0,#0,results,0,0,,RSU
1,DenmAccident-0-20260520-12:29:08-21270,RSUExampleScenario.node[0].bridge,denmSent:vector,[10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],none,vector,denmSent,DENM sent,DenmAccident,20260520-12:29:08,20260520-122908,DenmAccident,omnetpp.ini,,,,,RSUExampleScenario,21270,0,#0,results,0,0,,Vehicle 0
2,DenmAccident-0-20260520-12:29:08-21270,RSUExampleScenario.node[1].bridge,denmSent:vector,[],[],none,vector,denmSent,DENM sent,DenmAccident,20260520-12:29:08,20260520-122908,DenmAccident,omnetpp.ini,,,,,RSUExampleScenario,21270,0,#0,results,0,0,,Vehicle 1
3,DenmAccident-0-20260520-12:29:08-21270,RSUExampleScenario.node[2].bridge,denmSent:vector,[],[],none,vector,denmSent,DENM sent,DenmAccident,20260520-12:29:08,20260520-122908,DenmAccident,omnetpp.ini,,,,,RSUExampleScenario,21270,0,#0,results,0,0,,Vehicle 2
