,runID,module,name,vectime,vecvalue,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
0,General-0-20260610-10:56:12-9754,RSUExampleScenario.node[0].appl,headingAtCam,[ 1.1  2.   2.9  3.   3.1  4.   5.   6.   7.   8.   9.  10.  11.  12.  13.  14.  15.  16.  17.  18.  19.  20.  21.  22.  23.  24.  25.  26.  27.  28.  29.  30. ],[200.16297161 200.16297159 200.16297159 206.12300172 206.12300172 225.36611634 225.36611632 225.36611632 225.36611632 225.36611634 225.36611632 225.36611632 232.00464724 260.57222106 317.71928154 317.9550678  317.95506779 351.49902393 353.2124549  354.59836185 354.59836185 354.59836183 351.12790051 278.64078318 278.64078319 278.64078318 278.64078318 273.97249594 274.15904792 274.15904792 274.15904792 274.15904792],General,20260610-10:56:12,20260610-105612,General,omnetpp.ini,,,,,RSUExampleScenario,9754,0,#0,results,0,0,,Vehicle 0
1,General-0-20260610-10:56:12-9754,RSUExampleScenario.node[1].appl,headingAtCam,[ 4.1  5.   6.   7.   8.   9.  10.  11.  12.  13.  14.  15.  16.  17.  18.  19.  20.  21.  22.  23.  24.  25.  26.  27.  28.  29.  30. ],[200.16297159 200.16297159 204.14831309 225.36611634 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 232.00464724 260.57222106 317.29254773 317.9550678  317.9550678  351.49902391 353.2124549  354.59836185 354.59836185 354.59836185 354.19613974 278.64078318 278.64078318 278.64078318 278.64078318 273.97249594 273.85885944],General,20260610-10:56:12,20260610-105612,General,omnetpp.ini,,,,,RSUExampleScenario,9754,0,#0,results,0,0,,Vehicle 1
2,General-0-20260610-10:56:12-9754,RSUExampleScenario.node[2].appl,headingAtCam,[ 7.1  8.   8.9  9.   9.1 10.  10.9 11.  11.1 12.  12.9 13.  13.1 14.  14.9 15.  15.1 16.  16.9 17.  17.1 18.  18.9 19.  19.2 20.  20.8 21.  21.2 22.  22.8 23.  23.2 24.  24.8 25.  25.2 26.  26.8 27.  27.2 28.  28.8 29.  29.2 30. ],[200.16297159 200.16297161 200.16297161 202.9414513  202.9414513  225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 225.36611632 232.00464724 232.00464724 260.57222107 260.57222107 320.50703075 320.50703075 317.9550678  317.9550678  317.9550678  317.9550678  351.49902391 351.49902391 353.2124549  353.2124549  354.59836185 354.59836185 354.59836183 354.59836183 354.59836185 354.59836185 352.19967584 352.19967584 278.64078319 278.64078319 278.64078318 278.64078318 278.64078318],General,20260610-10:56:12,20260610-105612,General,omnetpp.ini,,,,,RSUExampleScenario,9754,0,#0,results,0,0,,Vehicle 2
